,CustomerID,Recency,Frequency,Monetary
0,1,103,34,512
1,2,349,34,4530
2,3,271,35,897
3,4,107,32,2909
4,5,72,45,2449
5,6,189,12,2873
6,7,21,33,3724
7,8,103,18,1683
8,9,122,5,4916
9,10,215,19,4346
10,11,331,31,3103
11,12,88,27,1813
12,13,100,42,3031
13,14,360,38,3184
14,15,152,15,4167
15,16,131,46,1869
16,17,150,48,3530
17,18,309,4,4598
18,19,258,19,2839
19,20,344,21,524
20,21,294,40,191
21,22,192,1,2174
22,23,277,20,3066
23,24,161,22,118
24,25,314,13,3590
25,26,22,41,4584
26,27,253,1,3771
27,28,236,15,4072
28,29,345,15,192
29,30,49,14,4236
30,31,59,5,4947
31,32,170,49,2195
32,33,188,6,704
33,34,271,41,3355
34,35,190,31,2403
35,36,175,26,4740
36,37,51,25,2366
37,38,364,49,1542
38,39,55,39,2249
39,40,244,40,3539
40,41,320,15,3757
41,42,131,6,1113
42,43,307,1,3207
43,44,135,41,2575
44,45,21,7,4330
45,46,329,4,3456
46,47,167,1,3891
47,48,274,41,4511
48,49,89,2,4563
49,50,316,48,3462
50,51,14,34,338
51,52,242,35,796
52,53,265,46,2176
53,54,346,13,4400
54,55,53,17,1623
55,56,340,10,2379
56,57,92,3,4787
57,58,264,4,1821
58,59,35,25,1969
59,60,206,37,435
60,61,81,43,3719
61,62,50,38,2199
62,63,360,29,4027
63,64,2,1,1494
64,65,54,30,3966
65,66,106,39,4363
66,67,260,10,3079
67,68,310,29,3103
68,69,191,44,3968
69,70,218,32,450
70,71,44,44,2662
71,72,162,1,752
72,73,202,41,2147
73,74,270,17,2579
74,75,351,12,1074
75,76,304,2,927
76,77,271,9,4197
77,78,215,12,1065
78,79,252,25,2002
79,80,190,36,3952
80,81,296,44,2694
81,82,213,35,2255
82,83,208,22,4820
83,84,237,33,2203
84,85,338,21,4235
85,86,53,40,604
86,87,280,22,798
87,88,217,28,111
88,89,252,4,1907
89,90,188,26,4120
90,91,41,23,334
91,92,157,48,3799
92,93,15,49,1420
93,94,301,23,1696
94,95,65,41,3717
95,96,345,8,2422
96,97,327,32,4798
97,98,9,39,3918
98,99,344,44,3355
99,100,129,1,2571
100,101,136,30,4644
101,102,63,28,2667
102,103,139,17,1025
103,104,81,23,764
104,105,163,38,3739
105,106,289,24,3015
106,107,261,22,3492
107,108,231,5,3458
108,109,41,25,415
109,110,28,7,1780
110,111,135,22,3200
111,112,201,44,3666
112,113,328,37,1769
113,114,268,34,3515
114,115,33,36,1641
115,116,48,49,742
116,117,62,40,4354
117,118,216,20,1711
118,119,293,37,4331
119,120,99,17,2382
120,121,172,4,1725
121,122,360,18,4958
122,123,214,28,381
123,124,35,16,498
124,125,227,43,2608
125,126,101,8,4793
126,127,131,44,2269
127,128,257,18,4513
128,129,5,29,2705
129,130,218,40,1305
130,131,255,16,3066
131,132,359,30,4207
132,133,283,49,2700
133,134,207,34,4623
134,135,15,30,3869
135,136,346,21,622
136,137,42,22,4854
137,138,179,47,4268
138,139,63,25,3309
139,140,352,22,4343
140,141,231,28,4526
141,142,241,39,3916
142,143,52,33,1746
143,144,96,2,736
144,145,222,4,2783
145,146,231,16,3295
146,147,237,12,930
147,148,143,17,4849
148,149,171,36,3884
149,150,29,16,4249
150,151,36,39,3081
151,152,13,23,4278
152,153,160,8,2765
153,154,327,9,472
154,155,187,14,1633
155,156,243,9,949
156,157,86,47,4487
157,158,284,26,2867
158,159,66,36,872
159,160,170,3,4706
160,161,45,10,1187
161,162,62,25,1103
162,163,134,4,2125
163,164,284,30,441
164,165,28,11,2024
165,166,108,19,543
166,167,44,13,4458
167,168,340,36,2275
168,169,286,3,2921
169,170,331,48,2772
170,171,128,14,367
171,172,348,10,1605
172,173,231,38,3960
173,174,190,40,3869
174,175,225,27,3393
175,176,283,24,1382
176,177,121,16,2076
177,178,116,10,1176
178,179,233,27,1008
179,180,259,7,4680
180,181,359,28,3614
181,182,198,26,1441
182,183,137,18,2568
183,184,318,13,816
184,185,165,8,3261
185,186,225,27,2927
186,187,307,14,444
187,188,234,41,533
188,189,172,44,4754
189,190,152,6,4723
190,191,315,20,2513
191,192,160,28,1523
192,193,96,23,1083
193,194,233,12,2381
194,195,180,24,2746
195,196,113,44,4259
196,197,318,22,4673
197,198,52,26,3092
198,199,268,22,3576
199,200,295,7,1048
200,201,113,15,3873
201,202,101,48,4148
202,203,113,30,793
203,204,81,4,4434
204,205,187,6,4335
205,206,113,48,2697
206,207,2,47,3505
207,208,130,2,2238
208,209,220,31,3317
209,210,54,24,1719
210,211,343,35,774
211,212,224,47,4535
212,213,225,31,3369
213,214,126,25,3645
214,215,130,8,554
215,216,53,12,1481
216,217,172,2,943
217,218,218,15,1396
218,219,160,40,2040
219,220,198,32,4265
220,221,247,11,3986
221,222,324,17,3080
222,223,203,21,1906
223,224,184,22,2030
224,225,123,33,1132
225,226,255,29,368
226,227,294,15,3177
227,228,280,21,484
228,229,325,2,1701
229,230,98,42,1081
230,231,198,38,2243
231,232,240,3,224
232,233,144,25,2700
233,234,97,13,3093
234,235,201,24,2516
235,236,124,31,2424
236,237,187,15,3380
237,238,326,6,4120
238,239,349,41,292
239,240,259,10,2307
240,241,148,9,587
241,242,252,41,3779
242,243,346,41,3127
243,244,147,5,4442
244,245,148,45,4201
245,246,352,44,652
246,247,199,41,2180
247,248,308,19,1403
248,249,128,20,3778
249,250,39,33,4079
250,251,338,43,3150
251,252,360,37,4950
252,253,129,31,1045
253,254,267,39,2785
254,255,151,13,103
255,256,298,38,4249
256,257,99,45,3621
257,258,263,6,4104
258,259,252,47,144
259,260,144,8,3825
260,261,346,43,2999
261,262,112,10,2318
262,263,60,41,549
263,264,2,4,466
264,265,304,14,3050
265,266,254,4,410
266,267,140,24,4872
267,268,37,47,3956
268,269,160,21,1602
269,270,9,10,350
270,271,233,46,3242
271,272,99,25,354
272,273,147,6,4324
273,274,304,16,613
274,275,208,44,450
275,276,131,28,3294
276,277,152,36,3844
277,278,54,33,4080
278,279,120,30,2980
279,280,161,36,3478
280,281,116,25,3332
281,282,75,13,2662
282,283,113,39,1695
283,284,104,15,1807
284,285,340,38,2525
285,286,254,30,203
286,287,227,14,1042
287,288,112,4,4750
288,289,99,1,4104
289,290,153,3,4144
290,291,349,45,3969
291,292,338,36,2017
292,293,194,4,2367
293,294,310,43,2285
294,295,163,14,4863
295,296,208,25,2409
296,297,169,39,4780
297,298,161,3,1687
298,299,68,7,1205
299,300,289,8,4624
300,301,277,44,3545
301,302,304,7,4666
302,303,135,48,4976
303,304,195,25,1070
304,305,128,17,686
305,306,33,26,817
306,307,176,4,1392
307,308,22,49,1924
308,309,238,18,4424
309,310,158,4,4139
310,311,38,17,3958
311,312,230,47,1223
312,313,51,17,4613
313,314,264,45,1314
314,315,283,25,2910
315,316,27,3,3683
316,317,226,12,4064
317,318,277,27,4505
318,319,286,17,1941
319,320,97,22,932
320,321,284,39,320
321,322,317,39,4325
322,323,304,43,3345
323,324,147,48,4193
324,325,4,36,858
325,326,35,16,4263
326,327,192,37,2294
327,328,49,29,2615
328,329,17,14,2152
329,330,172,7,4780
330,331,220,41,4407
331,332,158,28,546
332,333,46,13,3735
333,334,6,16,2516
334,335,99,21,4511
335,336,233,4,222
336,337,37,39,4574
337,338,280,35,3767
